,Id,Sentiment,Instagram Comment Text,text_clean
12,13,negative, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,eh kids jaman now banyak micin mna ngina bego pelihara
13,14,negative,Jijik liatnya suer deh minceeee,jijik liat suer deh minceeee
14,15,negative,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",hal tabu cium bikin eneg citra sok alim sok sok bijak sok sok lai citra sok alim sok suci
15,16,negative,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",jd cium dpn org bnyk malu mgkn lg mabok jd gak malu teman helooow teman tdk libat cium bibir coba bayangin sanggup gak cium bibir ma teman lbh dr teman dasar laku kids jaman now emg bego krn banyak micin lho yah
16,17,negative,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,anjing ngamukhidup dmana pny musuhudh kliatan mna bukanorg ga pny byk musuh
17,18,negative," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",ahhh jaga ucap lahh ucap ngk jaga dasar munafik dasar betina zaman now ellu yangg lebih micin loe otak loe selangkang paham moga tuhan ampunin munafik loe cun
18,19,negative," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",yaa ampun upil naruto cermin klo pecunpengalaman lu yaa sian prihatin mati aj deh lu ngotorin dunia manusia
19,20,negative,"Cuman jual goyangan yak, suara macam taik...",cuman jual goyang yak taik
20,21,negative,Kasian ih nyari uang sampe segitunya,kasi ih nyari uang sampe
21,22,negative,anjir tontonan yg sangat tidak bermutu!,anjir tonton mutu
22,23,negative,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",dlu inul goyang ngebor baju ketat dcekal hrs ny ni jg dg sgja goyang dada mulu ga sbrpa mrsk moral ank muda nnton bawa nafsu
23,24,negative,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,pnyanyi dangdut ga kelas bgini nih bukany nonjolin nonjolin dada
24,25,negative,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",najis najis udh homo org kaya gin musnah muka bumi
25,26,negative,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",haduuh orang gak akhlak bangeg rasa kerja antem mulu musuh
26,27,negative,S lonte ini bkn sensasi ngjak ribut org mulu sampah,s lonte bkn sensasi ngjak ribut org mulu sampah
27,28,negative,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,kayak banci dh nenek pny cucu mw operasi mua top ttp aj klo asli ny g cantik dlm
28,29,negative,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,bagus kalo mingkem hahahahahaha jahat akuuu
29,30,negative,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,oplas permak tetep jelek pokok muka tegang kek banci
30,31,negative,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",mending liat dek molen biarpun cowok tp cuantik gak kaya cewe tp kayak bencong wkwkwk
31,32,negative,bencong rombeng.menjijikan!!!gay jg.,bencong rombengmenjijikangay jg
32,33,negative,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",orang gila hitz cri tenar rela penjara cari sensasi settingan beken smpe hina org astagfirullah kaya org kaya mulut ky sampahga sekolah
33,34,negative,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,cowok anjing cuihhh orang kaya koar orang ping kaya seduniakarena orang tau klo orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus lu harta kagak bawa mati pants buang laut lu orang anehhh
34,35,negative,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan",cari sensasi tenar trus banya folowers gak gt gt jg kalee darar orang tres ngomong belepotan gk gt kamfungan
35,36,negative,ngomong aja belepotan banyak gaya lu bencong,ngomong belepotan gaya lu bencong
36,37,negative,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!,orang banyak makan taik giniotaknya penuh taik jdi gak berfikir positifdari bicara gak bermoraldasar kaum laknat banci anjing kbanyakan burit lo jdi stresmanusia ogah jumpa lo anjingcuma anjing ketemu lo taik
37,38,negative,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ,sikat abiss lahh orng sial kaya gin pimpin negara gak hormatin jgn mentang bapak president sembarangin marah gak hina pimpin harap tindak hukum orng ini
38,39,negative,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya,jijik lihat tingkah upil mudah cepat tidur
39,40,negative,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",wong edan nih orang udh makan uang rakyat tidur
40,41,negative,"Manusia laknat, matinya di apain ya",manusia laknat mati apain
41,42,negative,Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini,sakit otak hati gak nurani urat malu pajak loh ngegaji orang gila hormat
42,43,negative,Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,anak babi bangsat sumpel timah panas congor lu biar modar
43,44,negative,Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,sumpel timah panas congor anak babi pesek buruk rupa
44,45,negative,Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??,hey anak bangsat babi pesek buruk rupa keritingpengen penggal leher lu sampe putuslumayan makan buaya
45,46,negative,"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT",ratu pelakor jagat raya lonte gak malu ngerasa lonte tolong malu dikit
46,47,negative,Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??,mahhhh temu buah ranum buah busuk dah tau busuk manah mentok kalo pelakor
47,48,negative,"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe",ah manda gatel ga liyat cowo dikit lgsg sosor begok aje ama manda kegatelan cewe
48,49,negative,"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis",amanda muka tante umur tp muka boros dasar cabe jujur kgk suka ama ni haltis
49,50,negative,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen",astagah demen ama cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
50,51,negative,Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah  <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat,alah laki laki jaman skrg sm bejat ustad kek kek gila bgt sm perempuan istri stju bgt sm blg ustazah msuk surga bkan krna poligami msh bnyk hal bs jd akhlak bs masuk surga yaa smoga perempuan perempuan pelakor luar sna azab gak ampun hidup gk selamat dunia akhirat
51,52,negative,Gilaaaaa pelakor banyak bnget laki2 gatal juga banyak alasan untuk berpoligami woiii mikir pake otak haduh saya pikir dia org pintar tau agama mana baik mana buruk.... Allah menguji kesetiaan dan nafsunya eh malah kaya gtu... Menyakiti istri sama sja menutup pintu rejekimu... Anak istri kau korbankan! Sbg seorg imam keluarga dia telah gagal mmpertahankan rmh tangganya mencoreng nama baik nya sndiri... Smua org suka skrg benci sama dia.. M,gilaaaaa pelakor bnget laki gatal alas poligami woiii mikir pake otak haduh pikir org pintar tau agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri korban sbg seorg imam keluarga gagal mmpertahankan rmh tangga coreng nama sndiri smua org suka skrg benci m
52,53,negative,"Biasalah kalo pelakor banyak yang lbh ancur mukanya dari istri sah.. barang bagus pasti cepat laku, karena pelakor jelek nggak laku makanya ngembat laki orang.. ya udah sama2 GATEL kok.. cocok wes..  <USERNAME>",biasa kalo pelakor lbh ancur muka istri sah barang bagus cepat laku pelakor jelek nggak laku ngembat laki orang gatel cocok wes
53,54,negative,"lama2 ilfil deh sm ni ertong. caption/ig story nya ngomongin org mlu, org kan jd ambigu nilai si a si b si c. udah gt kaya paling di zholimi, salahinnya depan lawan dong jgn ngmg di status ah. kata nya dewasa ??",ilfil deh sm ni ertong captionig story ngomongin org mlu org jd ambigu nilai a b c gt kaya zholimi salahinnya lawan jgn ngmg status ah dewasa
54,55,negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",pikir manusia bodoh eehhh tanteibuomaempo otak lu picik bngt jga manusi larang dunia orang larang ngungkapin unek stupid human
55,56,negative,"Heran deh yg ngatain si via baperan ya wajar lah dese baper karena udin muak sama orang yg munafik sok""an baik sama dese, lah apa kabar yg sering baperan sama laki orang ? Ga pada nyadar diri tuh pemujanya att, bukannya pada gotong royong buat nasehatin att ini malah menggila buat muja"" att dan mojokin viaa. Dese juga manusia keles ahh",heran deh ngatain baperan wajar dese baper udin muak orang munafik sok dese kabar baperan laki orang ga nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
56,57,negative," <USERNAME> itu yg komen via nyinyir mulu duh kyak dia gak pernah nyinyirin orang aja, mungkin lebih parah, kalo org sudah sok bener mah gitu, pdhal ini kan media sosial, hak dia dong instagram juga instagram dia, yg penting kan nyinyir gak pake ig s",komen nyinyir mulu duh kyak gak nyinyirin orang parah kalo org sok bener pdhal media sosial hak instagram instagram nyinyir gak pake ig s
57,58,negative," <USERNAME> ini lagi pemikiran manusia bodoh, eehhh tante/ibu/oma/empo, otak lu picik bngt ya, dia jga manusi biasa ada larangan emang di dunia ini orang di larang ngungkapin unek2???? stupid human",pikir manusia bodoh eehhh tanteibuomaempo otak lu picik bngt jga manusi larang dunia orang larang ngungkapin unek stupid human
58,59,negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,ngatain org nyindir netijen goblog banyak masyako
59,60,negative," <USERNAME> cara didik ortunya nagita bagus, makanya amat sangat heran dg balajaer, kan nagita yah yg dirugikan sm junjunganny.. Knp dia yg dibenci, bodoh bgt asli.",didik ortunya nagita bagus heran dg balajaer nagita yah rugi sm junjunganny knp benci bodoh bgt asli
60,61,negative," <USERNAME> pdhl km lebih kampungan loh,pake kerudung tapi mulutnya cuihh..",pdhl kampung lohpake kerudung mulut cuihh
61,62,negative,Belajaer tuh apa ya? Hahahaha bela artis ampe sebegitunya... manusah2 begoh ????????,belajaer tuh hahahaha bela artis ampe manusah begoh
62,63,negative," <USERNAME> iya banyak berarti mereka norak kampyuung, coba liat artis yang adem ayem liat isyana liat agnezmo liat mba liaaat..... jangan diliat aja coba di telaah deh, dikasih tau contoh artis yang better eh jawabannya begini ya cocok la",norak kampyuung coba liat artis adem ayem liat isyana liat agnezmo liat liaaat liat coba deh kasih tau artis better eh jawab cocok la
63,64,negative," <USERNAME> gak usah sok jadi high class mba, liat komenmu sendiri, memang semua artis itu sama, beda2 mbak, ada yg suka curhat di ig, ada yg curhat ke temen ada yg curhat ke Tuhan.... ngak usah trus mulut situ maju dulu otaknya belakangan mikirnya, yg curh",gak sok high class liat komenmu artis beda mbak suka curhat ig curhat temen curhat tuhan ngak trus mulut maju otak mikirnya curh
64,65,negative," <USERNAME> lah goblok amat, gak semua netizen yg kontra sm postingan si via ini bakajaer kali, mba/mas. Ih goblok kok dipiara. Lol",goblok gak netizen kontra sm postingan bakajaer mbamas ih goblok piara lol
65,66,negative,Ini siapa sih emg artis? Ko artis indo bukan ny ngurus prestasi malah di sosmed ny beginian mulu isi nya jd jatoh nya kampungan,emg artis ko artis indo ny ngurus prestasi sosmed ny mulu isi jd jatoh kampung
66,67,negative," <USERNAME> baru itu aj kn y mba, apa lagi kaya agnes mo bnyk penghargaan ny tp g kampungan beda am yg ini",aj kn y kaya agnes mo bnyk harga ny tp g kampung beda am
67,68,negative,Munafik bgt yg ngomong curhat di sosmed kampungan... Gua yakin elu juga kitu keleusss wkkwkww..... Mending mba via dia artis cantik bs nyanyi.. La elu pada? Lbh kampungan wkwkwkwkw!!!!,munafik bgt ngomong curhat sosmed kampung elu kitu keleusss wkkwkww mending artis cantik bs nyanyi la elu lbh kampung wkwkwkwkw
68,69,negative, <USERNAME>.wawan zzzzz emng ini artis ga punya tmn apa? Dikit dikit att hahaha lagi juga apa apa curhat di sosmed kampungan,wawan zzzzz emng artis ga tmn dikit dikit att hahaha curhat sosmed kampung
69,70,negative,Lemes ya mulutnya. Berani lewat ststus udah gitu tulisannya sengaja biar ga kebaca takut kali di labrak. Mmmm artis masih kampungan sih ya jadi wajar lah ya ????????,lemes mulut berani ststus tulis sengaja biar ga baca takut labrak mmmm artis kampung wajar
70,71,negative, <USERNAME> main main lah ke jawa timur.. Biar ga begok!!,main main jawa timur biar ga begok
71,72,negative, <USERNAME> bisa nya cuma ngatain org . Nyindir siapa ..netijen goblog banyakan masyako !,ngatain org nyindir netijen goblog banyak masyako
72,73,negative," <USERNAME> dia udah nunjukin karyanya, situ pny karya apa? Karya nyinyir hidupnya Via?? Tolol ??",nunjukin karya pny karya karya nyinyir hidup tolol
73,74,negative," <USERNAME> siapa bilang gw fansnya Via?? Duh nantangin gw nih org... anak tolol ank alay, jablay!",bilang gw fansnya duh nantangin gw nih org anak tolol ank alay jablay
74,75,negative, <USERNAME> yutub apaan ya mba? Aplikasi baru ya? Sy taunya youtube. Mba gak tau apa ya seseorg bs dpt penghasilan besar salah satunya dr youtube loh. Mreka jg di bayar apalagi klo bnyk yg ntn video mreka. Sekolah yg bener deh mba biar pinter. Generasi muda,yutub aplikasi sy tau youtube gak tau seseorg bs dpt hasil besar salah dr youtube loh mreka jg bayar klo bnyk ntn video mreka sekolah bener deh biar pinter generasi muda
75,76,negative,"gue suka gangerti deh yaa, kenapa kalo via vallen bikin status atau apalah itu disangkut pautin ama att mulu?? padahal att nya aja biasa aja.. Fansnya sih yg bikin jelek.. Orang kalo di sangkut pautin mulu jg lama-lama gerah kali..",suka gangerti deh yaa kalo vallen bikin status apa sangkut pautin ama att mulu att fansnya bikin jelek orang kalo sangkut pautin mulu jg lamalama gerah
76,77,negative,Jujur aja ya ni org malah bagusan kaga oplas..ada tu foto dia sblm dn sesudah oplas..dioplas mukanya aneh...kyknya gagal oplasnya...,jujur ni org bagus kaga oplasada tu foto sblm dn oplasdioplas muka anehkyknya gagal oplasnya
77,78,negative,Noraaak abiiis... Baru kebeli emas az pamer aplg mainan berlian ciiinnnnn.... ??,noraaak abiiis kebel emas az pamer aplg main berlian ciiinnnnn
78,79,negative,Before and after pasca oplas ga ngefek ya.. tetep jelek n serem mukanya..ahahahhaha..,before and after pasca oplas ga ngefek tetep jelek n rem mukanyaahahahhaha
79,80,negative,"Salfok ke mukanya, sumpah jelek... Oplas apaan model begitu... Failed!!!",salfok muka sumpah jelek oplas model failed
80,81,negative,Norak bener. Kegaet penjahat baru rasa.,norak bener gaet jahat
81,82,negative,"Najis..,apalagi d philipine biasa bgt kali,d sana aj bangga..jd perusak moral ko bangga..najis banget liatnya.ckp d sini aj komen ny,dia pngn ngetop lwt nitezerrre.....wkwkwk..ngarep laku",najisapalagi d philipine bgt kalid aj banggajd rusak moral ko bangganajis liatnyackp d aj komen nydia pngn ngetop lwt nitezerrrewkwkwkngarep laku
82,83,negative,Yang gua bingung jujur kenapa media pada rebutan ngeliput ini orang. Kayaknya cuman net doang media informasi yang masih waras,bingung jujur media rebut ngeliput orang kayak cuman net media informasi waras
83,84,negative,"Bukankah Jedun yg ga becus jadi perempuan terhormat, ga becus jadi perempuan cerdas, ga becus jadi perempuan yg mencari suami sah bukan suami orang, ga becus jadi perempuan yg menghindari narkoba, ga becus jadi perempuan yg menjaga nama baik keluarga... semoga hanya ada satu perempuan yg kayak kamu di dunia ini ya Jedun",jedun ga becus perempuan hormat ga becus perempuan cerdas ga becus perempuan cari suami sah suami orang ga becus perempuan hindar narkoba ga becus perempuan jaga nama keluarga moga perempuan kayak dunia jedun
84,85,negative,"cewe yg bgni yg hrsnya gosong jd abu aja di kebakaran pabrik yg lg viral kmrn tu. bnr2 slain ga brguna, gda otak.. cm modal ngangkang trs gebet laki org trs bangga.. btw klo emg instastory nya buat nyindir sesebini tua mah. ehhh at least biar ga becus jd prewi tp becus cuii jd emak. buktinya anak nya bejibun trs smua pro ke emaknya drpd bapaknya",cewe bgni hrsnya gosong jd abu bakar pabrik lg viral kmrn tu bnr slain ga brguna gda otak modal ngangkang trs gebet laki org trs bangga btw klo emg instastory nyindir sesebini tua ehhh at least biar ga becus jd prewi tp becus cuii jd emak bukti anak bejibun trs smua pro emaknya drpd bapak
85,86,negative,"Hahaha..kasian ya...gak becus jadi perem...harus ngerebut laki orang dulu biar dikata ""perempuan""? Dasar perempuan tak sadar diri ente cuy.",hahahakasian yagak becus peremharus ngerebut laki orang biar kata perempuan dasar perempuan tak sadar ente
86,87,negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,dasar artis abal abal enggk laku layar kacaudh enggk duit kere miskinjadi maen k dukun elmu pelet rebut suami org kaya
87,88,negative,"ih dia kan paling becus makrum, paling becus ngrebut suami orang hehe????",ih becus makrum becus ngrebut suami orang hehe
88,89,negative,Eeee si pelacur. Situ becus jd brempuan emang? Becus jadi sampah sih iya. Edeuuuuuh lonte lonte,eeee lacur becus jd brempuan becus sampah edeuuuuuh lonte lonte
89,90,negative,"Biarin,,,puas puasin mumpung deseu masih brasa muda. Ntar klo dah tua juga nyaho! Karma itu ada.",biarinpuas puasin mumpung deseu brasa muda ntar klo dah tua nyaho karma
90,91,negative,Dia ini punya anak perempuan lho. Ibu macam apa contohin jelek ke anaknya. Jauh dari kata BECUS ini perempuan. Amit amit...,anak perempuan lho contohin jelek anak becus perempuan amit amit
91,92,negative,Kaya becus aja jd permpuan dia yng g becus jd perempuan ko sukanya sm laki orng heheh,kaya becus jd permpuan yng g becus jd perempuan ko suka sm laki orng heheh
92,93,negative,Yg gk becus tuh loh jedun...hidup nya cuma bisanya ngerusak kbhgiaan org lain .mau hidup serba mewah tp g mau krja mlh morotin laki org..karma psti akn mnghampirimu????????,gk becus tuh loh jedunhidup ngerusak kbhgiaan org hidup serba mewah tp g krja mlh morotin laki orgkarma psti akn mnghampirimu
93,94,negative,Gue gak suka sm ni orang. Idupnya kebanyakan ribut.,gak suka sm ni orang idupnya banyak ribut
94,95,negative,Dasar artis abal abal enggk laku di layar kaca...udh Enggk ada duit kere Miskin..Jadi maen k dukun buat minta elmu pelet perebut suami org yg kaya...,dasar artis abal abal enggk laku layar kacaudh enggk duit kere miskinjadi maen k dukun elmu pelet rebut suami org kaya
95,96,negative,"Yg nama ny plagiat ya plagiat, walaupun laku tp tetep ajah ciptaan dri hasil plagiat..wkwkwkwk gua mah ogah dwngerin ajah udh pngen muntah",nama ny plagiat plagiat laku tp tetep ajah cipta dri hasil plagiatwkwkwkwk ogah dwngerin ajah udh pngen muntah
96,97,negative,"Dasar plagiat semuanya, ga bisa kreatip.memalukab bgt",dasar plagiat ga kreatipmemalukab bgt
97,98,negative,"Dan dengan begonya dia bilang ""apanya yang sama yaaa liriknya aja tentang percintaan gitu kok lagu saya"" bener2 tolol si ayu. Gapunya kuping apa y orang yg dipermasalahin nadanya ????????",bego bilang yaaa lirik cinta lagu bener tolol ayu gapunya kuping y orang dipermasalahin nada
98,99,negative,Itu pacarnya anggel pietrs kali.... dan cowok itu juga masih bocah....  <USERNAME> yaelah jes.. terxta kelakuan mu sama aja sprti ayuting2 Hidupmu penuh dengan drama MURAHAN,pacar anggel pietrs cowok bocah yaelah jes terxta laku mu sprti ayuting hidup penuh drama murah
99,100,negative,"japok gateeel emang,uda jelas dia ada main sama si mamad,sampe"" si jessica dimusuhin,deddy corbuzier aja jijik sama si japok semenjak nagita diundang di hitam putih berarti nagita cerita di belakang panggung,itu aja sih menurut gue",japok gateeel emanguda main mamadsampe jessica dimusuhindeddy corbuzier jijik japok nagita undang hitam putih nagita cerita panggungitu
100,101,negative, <USERNAME> lebih memalukan anda buk ...ngomong pelakor emang ibuk udah pernah jadi pelakor ya kok bisa tau ayu pelakor wkwkwkwkwk. ..awas ibu nanti malah justru rumah tangga ibu yg dimasukin pelakor atau anaknya nanti jadi pelakor ..,malu buk ngomong pelakor ibuk pelakor tau ayu pelakor wkwkwkwkwk awas rumah tangga dimasukin pelakor anak pelakor
101,102,negative,Wah itu Kerdus mulutnya busuk...jangan jangan sampah makanannya,kerdus mulut busukjangan sampah makan
102,103,negative, <USERNAME> TAI loe di gedein bagus buat pupuk jngan bacot loe goblok !!! nih cewek knpa bawa2 suku ?,tai loe gedein bagus pupuk jngan bacot loe goblok nih cewek knpa bawa suku
103,104,negative,LAH ELO ARTIS APAAN? PAPAN BLENYEK AJA BELAGU AMAT ARTIS APAAN KGA POPULER SAMA SEKALU HAHAHA,elo artis papan blenyek lagu artis kga populer sekalu hahaha
104,105,negative,ANANG MUKA NYA KAYA BABIII GITU AJA DI DEMENIN JIJIKK,anang muka kaya babi demenin jijikk
